Date,Average_Temperature,Wind_speed,Thunder,Max_temperature,Min_temperature,Precipitation,Rain
1/1/2019,23,6.26,0,30,14,0,0
1/2/2019,24,9.17,0,32,18,0,0
1/3/2019,26,5.14,0,38,18,0,0
1/4/2019,31,3.58,0,38,23,0,0
1/5/2019,29,6.71,0,46,23,0,0
1/6/2019,42,10.07,0,47,35,0,0
1/7/2019,37,6.49,0,41,29,0.02,0
1/8/2019,33,10.74,0,46,27,0,0
1/9/2019,41,11.18,0,50,36,0,0
1/10/2019,44,5.82,0,52,33,0.01,0
1/11/2019,38,7.61,0,48,27,0,0
1/12/2019,33,6.26,0,42,24,0,0
1/13/2019,29,4.92,0,37,22,0,0
1/14/2019,26,4.47,0,36,19,0,0
1/15/2019,28,1.79,0,39,24,0.07,0
1/16/2019,32,5.82,0,45,23,0.1,1
1/17/2019,45,12.75,0,52,39,0.01,0
1/18/2019,42,6.93,0,45,37,0.05,0
1/19/2019,40,12.08,0,44,35,0.75,1
1/20/2019,43,6.71,0,54,36,0.06,0
1/21/2019,38,15.66,0,42,28,0,0
1/22/2019,31,4.92,0,39,23,0,0
1/23/2019,35,6.71,0,43,30,0.01,0
1/24/2019,36,4.7,0,47,29,0,0
1/25/2019,36,5.14,0,47,27,0,0
1/26/2019,35,3.36,0,51,25,0,0
1/27/2019,39,6.49,0,49,31,0,0
1/28/2019,35,6.04,0,45,24,0,0
1/29/2019,32,4.25,0,43,23,0,0
1/30/2019,31,3.58,0,43,22,0,0
1/31/2019,33,5.37,0,48,26,0,0
2/1/2019,36,4.03,0,57,26,0,0
2/2/2019,41,6.26,0,50,36,0.48,1
2/3/2019,43,7.61,0,50,39,0.44,1
2/4/2019,43,12.08,0,47,34,0.11,1
2/5/2019,34,8.5,0,38,28,0.13,1
2/6/2019,29,12.75,0,33,20,0,0
2/7/2019,22,4.47,0,32,13,0,0
2/8/2019,25,10.74,0,35,19,0,0
2/9/2019,31,17,0,37,29,0.01,0
2/10/2019,33,6.93,0,38,28,0.06,0
2/11/2019,29,14.32,0,35,25,0.01,0
2/12/2019,34,12.3,0,41,29,0,0
2/13/2019,37,12.08,0,37,35,0.54,1
2/14/2019,41,14.76,0,53,36,0.4,1
2/15/2019,41,7.61,0,43,32,0,0
2/16/2019,35,7.61,0,41,31,0.03,0
2/17/2019,33,5.14,0,37,28,0.01,0
2/18/2019,29,8.72,0,35,21,0,0
2/19/2019,26,5.82,0,32,17,0.03,0
2/20/2019,29,6.26,0,35,22,0.22,1
2/21/2019,28,6.26,0,33,20,0.07,0
2/22/2019,23,4.7,0,35,10,0,0
2/23/2019,31,11.18,0,37,28,0,0
2/24/2019,36,13.2,0,43,33,0.13,1
2/25/2019,41,13.42,0,50,38,0.08,0
2/26/2019,39,8.05,0,48,29,0.39,1
2/27/2019,35,6.93,0,51,31,0.4,1
2/28/2019,42,7.61,0,46,30,0.17,1
3/1/2019,35,7.38,0,46,27,0,0
3/2/2019,34,4.47,0,43,24,0,0
3/3/2019,33,3.36,0,44,23,0,0
3/4/2019,36,9.62,0,48,28,0,0
3/5/2019,38,12.75,0,51,28,0.07,0
3/6/2019,42,9.62,0,53,35,0.08,0
3/7/2019,45,7.83,0,48,35,0,0
3/8/2019,36,8.28,0,45,28,0,0
3/9/2019,33,6.93,0,40,24,0,0
3/10/2019,36,4.25,0,47,27,0,0
3/11/2019,37,4.03,0,52,24,0,0
3/12/2019,41,12.75,0,51,32,0.11,1
3/13/2019,35,16.11,0,45,29,0,0
3/14/2019,35,6.71,0,46,22,0,0
3/15/2019,38,4.25,0,54,28,0,0
3/16/2019,43,4.92,0,59,30,0,0
3/17/2019,45,5.37,0,58,33,0,0
3/18/2019,47,7.83,0,63,35,0,0
3/19/2019,49,11.18,0,66,36,0,0
3/20/2019,50,10.74,0,68,32,0,0
3/21/2019,51,4.25,0,62,36,0,0
3/22/2019,52,4.92,0,62,41,0,0
3/23/2019,51,5.14,0,58,40,0.06,0
3/24/2019,46,5.59,0,52,40,0.52,1
3/25/2019,47,17,0,61,38,0,0
3/26/2019,52,4.7,0,58,43,0.12,1
3/27/2019,50,9.17,1,62,44,0.12,1
3/28/2019,47,5.82,0,55,39,0.23,1
3/29/2019,45,8.05,0,56,36,0,0
3/30/2019,46,4.03,0,59,34,0,0
3/31/2019,48,4.7,0,61,36,0,0
4/1/2019,51,9.17,0,60,43,0,0
4/2/2019,52,5.82,0,53,47,0.11,1
4/3/2019,49,4.92,0,60,45,0.09,0
4/4/2019,54,8.5,0,66,48,0,0
4/5/2019,55,6.49,0,62,48,0.05,0
4/6/2019,48,10.74,0,58,38,0.07,0
4/7/2019,54,11.41,0,64,49,0.1,1
4/8/2019,57,9.17,0,66,51,0.44,1
4/9/2019,51,15.66,0,55,43,0.04,0
4/10/2019,45,20.8,0,55,40,0,0
4/11/2019,46,8.5,0,53,40,0.06,0
4/12/2019,45,6.71,0,59,35,0.02,0
4/13/2019,48,5.14,0,63,37,0.19,1
4/14/2019,51,7.83,0,53,41,0.33,1
4/15/2019,44,4.92,0,55,40,0.24,1
4/16/2019,49,7.83,0,58,43,0.03,0
4/17/2019,51,8.95,0,63,41,0,0
4/18/2019,55,5.37,0,73,42,0,0
4/19/2019,65,10.29,0,82,52,0,0
4/20/2019,63,11.86,1,68,49,0.22,1
4/21/2019,55,20.58,0,67,48,0,0
4/22/2019,55,5.37,0,69,41,0,0
4/23/2019,60,6.71,0,75,47,0,0
4/24/2019,61,7.61,0,70,50,0,0
4/25/2019,57,4.25,0,72,40,0,0
4/26/2019,60,9.84,0,68,49,0,0
4/27/2019,55,10.51,0,69,39,0,0
4/28/2019,49,12.97,0,56,35,0,0
4/29/2019,47,9.62,0,58,34,0,0
4/30/2019,46,9.62,0,59,35,0,0
5/1/2019,46,4.03,0,61,31,0,0
5/2/2019,52,9.4,0,66,38,0,0
5/3/2019,56,5.82,0,73,40,0,0
5/4/2019,60,6.71,0,75,46,0,0
5/5/2019,62,6.26,0,77,48,0,0
5/6/2019,63,7.83,0,78,47,0,0
5/7/2019,63,12.75,0,78,44,0,0
5/8/2019,63,11.18,0,76,48,0,0
5/9/2019,61,8.05,1,68,49,0,0
