Date,Average_Temperature,BB_SNOW,Nampa_rain,Wind_speed,Thunder,Max_temperature,Min_temperature,MaxT,WS,WSF2,WSF5,WDF2,WDF5,WT02,WT08,Precipitation,Rain
5/28/2019,1.806179974,0,0,0.983175072,1,1.886490725,1.707570176,1,2,1.340444115,1.519827994,1.602059991,2.176091259,0,0,0.83,1
1/19/2019,1.602059991,0,1,1.082066934,0,1.643452676,1.544068044,0,2,1.361727836,1.463892989,2.079181246,2.079181246,0,0,0.75,1
5/21/2019,1.716003344,0,1,0.918030337,0,1.77815125,1.653212514,1,1,1.322219295,1.413299764,2.491361694,2.397940009,0,0,0.67,1
5/17/2019,1.69019608,0,1,0.918030337,0,1.716003344,1.672097858,0,1,1.322219295,1.477121255,2.447158031,2.447158031,0,0,0.6,1
2/13/2019,1.568201724,0,0,1.082066934,0,1.568201724,1.544068044,0,2,1.361727836,1.492760389,2.146128036,2.079181246,0,0,0.54,1
3/24/2019,1.662757832,0,1,0.747411808,0,1.716003344,1.602059991,0,0,1.149219113,1.278753601,2.431363764,2.431363764,0,0,0.52,1
5/30/2019,1.812913357,0,1,0.764922985,1,1.86332286,1.748188027,1,0,1.378397901,1.477121255,2,1.698970004,0,0,0.49,1
2/2/2019,1.612783857,0,0,0.796574333,0,1.698970004,1.556302501,0,1,1.257678575,1.322219295,2.041392685,2.447158031,0,0,0.48,1
2/3/2019,1.633468456,0,1,0.881384657,0,1.698970004,1.591064607,0,1,1.257678575,1.447158031,2.113943352,2.113943352,0,0,0.44,1
4/8/2019,1.755874856,0,0,0.962369336,0,1.819543936,1.707570176,1,2,1.206825876,1.413299764,2.230448921,2.204119983,0,0,0.44,1
2/14/2019,1.612783857,0,1,1.169086357,0,1.72427587,1.556302501,0,2,1.463892989,1.589949601,2.176091259,2.176091259,0,1,0.4,1
2/27/2019,1.544068044,1,1,0.840733235,0,1.707570176,1.491361694,0,1,1.413299764,1.611723308,2.278753601,2.301029996,0,1,0.4,1
2/26/2019,1.591064607,0,1,0.90579588,0,1.681241237,1.462397998,0,1,1.230448921,1.340444115,2.491361694,2.491361694,1,1,0.39,1
5/20/2019,1.707570176,0,1,0.747411808,0,1.792391689,1.681241237,1,0,1.206825876,1.322219295,2.447158031,2.447158031,0,0,0.39,1
4/14/2019,1.707570176,0,1,0.893761762,0,1.72427587,1.612783857,0,1,1.230448921,1.378397901,2.51851394,2.51851394,0,0,0.33,1
9/8/2019,1.826074803,0,0,0.951823035,0,1.86332286,1.748188027,1,2,1.567026366,1.69019608,2.146128036,2.176091259,0,0,0.32,1
12/12/2019,1.62324929,0,1,0.812244697,0,1.681241237,1.591064607,0,1,1.230448921,1.477121255,2.477121255,2.322219295,0,0,0.28,1
5/19/2019,1.748188027,0,0,0.840733235,1,1.763427994,1.698970004,1,1,1.298853076,1.447158031,2.176091259,2.146128036,0,0,0.28,1
4/15/2019,1.643452676,0,0,0.691965103,0,1.740362689,1.602059991,0,0,1.08278537,1.257678575,1.903089987,2.322219295,0,0,0.24,1
3/28/2019,1.672097858,0,1,0.764922985,0,1.740362689,1.591064607,0,0,1.361727836,1.463892989,1.698970004,2.397940009,0,0,0.23,1
2/20/2019,1.462397998,1,0,0.796574333,0,1.544068044,1.342422681,0,1,1.08278537,1.230448921,2.505149978,2.146128036,1,1,0.22,1
4/20/2019,1.799340549,0,0,1.074084689,1,1.832508913,1.69019608,1,2,1.447158031,1.567026366,2.447158031,2.414973348,0,1,0.22,1
10/19/2019,1.662757832,0,0,1.120573931,1,1.72427587,1.602059991,0,2,1.463892989,1.579783597,2.477121255,2.477121255,0,0,0.22,1
5/24/2019,1.755874856,0,0,0.82672252,1,1.832508913,1.672097858,1,1,1.463892989,1.556302501,2.462397998,2.477121255,0,0,0.21,1
5/16/2019,1.748188027,0,0,0.840733235,0,1.770852012,1.698970004,1,1,1.322219295,1.492760389,2.462397998,2.477121255,0,0,0.2,1
9/16/2019,1.851258349,0,0,1.039810554,0,1.886490725,1.707570176,1,2,1.477121255,1.611723308,2.477121255,2.477121255,0,0,0.2,1
4/13/2019,1.681241237,0,0,0.710963119,0,1.799340549,1.568201724,1,0,1.298853076,1.378397901,2.491361694,2.477121255,0,0,0.19,1
2/28/2019,1.62324929,0,1,0.881384657,0,1.662757832,1.477121255,0,1,1.361727836,1.505149978,2.146128036,2.113943352,0,0,0.17,1
12/8/2019,1.653212514,0,0,0.868056362,0,1.672097858,1.579783597,0,1,1.176091259,1.230448921,2.477121255,2.491361694,0,0,0.16,1
12/24/2019,1.556302501,1,0,0.62838893,0,1.602059991,1.462397998,0,0,0.949390007,1.113943352,1,2.556302501,0,0,0.16,1
9/6/2019,1.86923172,0,0,0.781036939,1,1.919078092,1.806179974,2,0,1.378397901,1.447158031,1.698970004,1.698970004,0,0,0.15,1
2/5/2019,1.531478917,1,0,0.929418926,0,1.579783597,1.447158031,0,2,1.206825876,1.340444115,2.544068044,2.51851394,0,0,0.13,1
2/24/2019,1.556302501,0,0,1.120573931,0,1.633468456,1.51851394,0,2,1.322219295,1.413299764,2.041392685,2.079181246,0,0,0.13,1
12/1/2019,1.447158031,0,0,1.039810554,0,1.568201724,1.301029996,0,2,1.322219295,1.447158031,2.230448921,2.230448921,0,0,0.13,1
