StartLotKey,WaferId,P_02281_P,P_04928_P,P_05104_P,P_05844_P,P_06198_P,P_06199_P,P_08812_P,P_09320_P,P_09357_P,P_09360_P,P_09366_P,P_09851_P,P_10334_P,P_15926_P,P_16779_P,P_16780_P,P_16874_P,P_16875_P,P_16969_P,P_18071_P,P_00037_P,P_00065_P,P_00097_P,P_00125_P,P_00169_P,P_00863_P,P_00864_P,P_00881_P,P_00882_P,P_03186_P,P_03233_P,P_04800_P,P_05602_P,P_08907_P,P_09529_P,P_00862_P,P_07882_P,Label
4169943,9943-15,0.396,-2088.56,3065,0.648,100.453,97.434,0.308,0.224,87.929,87.398,90.139,-0.029,98.094,0.347,-31.616,-28.89,-692.046,-631.2,-81.503,469.7,18.555,44.244,35.528,18.621,34.893,332.22,187.442,0.611,0.624,21.301,24.218,5.172,518.25,-355.7,-415.9,3.08166E+11,825.7,High
4140213,0213-20,0.384,-3104.77,3128.2,0.661,102.576,97.427,0.321,0.207,89.054,87.229,89.063,-0.027,100.531,0.347,-31.528,-28.99,-686.742,-633.8,-79.545,465.2,16.478,39.895,32.167,15.919,34.268,322.526,208.515,0.961,1.197,21.437,24.42,5.189,618.95,-351.75,-421.9,95488180000,822.1,High
4169943,9943-07,0.39,-2366.22,3086.4,0.649,100.403,96.306,0.305,0.222,88.36,88.016,90.187,-0.02,97.953,0.349,-31.566,-28.628,-686.237,-628.2,-80.934,465.3,17.393,39.542,33.988,17.988,35.011,337.108,189.014,0.632,0.757,21.195,24.228,5.063,517.8,-364.05,-412.8,1.52352E+11,822.6,High
4135663,5663-20,0.384,-2966.25,3046.4,0.645,101.192,98.182,0.226,0.204,85.025,84.697,87.359,-0.053,102.156,0.337,-33.422,-32.254,-728.03,-703.8,-92.841,472.8,17.269,42.508,39.082,17.789,37.304,299.883,208.766,0.599,0.762,21.811,24.47,5.149,585.95,-377.9,-440.7,1.44248E+11,833.7,High
4169943,9943-12,0.388,-1883.92,3242.2,0.652,102.502,97.309,0.376,0.237,87.675,87.224,90.035,-0.024,97.797,0.345,-31.982,-28.934,-692.424,-634.8,-81.616,467.2,18.243,42.888,35.063,18.532,36.234,265.566,198.448,1.113,1.336,21.398,24.257,6.348,628.85,-347.65,-417.1,1.93705E+11,823.3,High
4169943,9943-16,0.388,-2151.86,3216.2,0.666,98.117,96.827,0.296,0.22,86.529,87.371,90.798,-0.026,96.391,0.345,-32.058,-28.81,-696.212,-631.2,-83.169,459.8,17.008,39.57,34.923,17.766,33.88,268.165,188.663,0.39,0.411,21.429,24.336,5.772,574.65,-358.4,-422.6,2.18699E+11,814,High
4169943,9943-23,0.39,-2170.42,3135.8,0.666,99.607,97.231,0.229,0.224,87.042,87.3,90.95,-0.022,96.391,0.347,-32.008,-29.026,-693.561,-635,-83.005,463.3,16.339,36.652,32.568,17.968,31.955,266.52,192.514,0.344,0.326,21.375,24.256,5.967,537.6,-357.45,-418.6,1.22156E+11,818.6,High
4181473,1473-01,0.37,-2708.17,3120.8,0.681,99.179,94.175,0.261,0.23,87.613,88.131,90.541,-0.022,93.5,0.348,-31.452,-28.65,-682.071,-626,-79.141,448.4,17.104,39.687,34.935,18.506,35.189,339.286,205.834,1.016,1.272,21.366,24.263,5.175,599.1,-367.65,-417.6,72124050000,799.4,High
4162983,2983-11,0.378,-3082.48,3155.8,0.676,101.365,103.6,1.403,0.178,85.03,87.314,88.932,-0.041,94.656,0.351,-32.55,-30.256,-704.293,-664,-86.402,440.2,16.935,36.997,32.846,18.436,33.024,277.435,246.193,0.318,0.09,21.837,24.398,6.613,545,-343.35,-419.8,1.26723E+11,789.1,High
4169943,9943-05,0.39,-2154.9,3185.6,0.662,100.201,98.821,0.185,0.235,87.848,87.284,90.535,-0.027,98.297,0.346,-31.755,-28.99,-689.773,-632,-81.705,463.4,17.042,38.157,32.878,18.151,33.739,324.603,189.456,0.569,0.605,21.291,24.239,5.014,582.55,-354.05,-416.2,1.41243E+11,819.7,High
4162983,2983-22,0.382,-2955.48,3107.6,0.685,104.478,102.778,0.885,0.201,86.277,85.308,89.298,-0.051,91.266,0.349,-32.79,-30.524,-710.606,-670,-87.854,443.5,179.298,44.545,32.59,201.568,32.816,270.642,256.306,0.263,0.121,21.885,24.366,6.799,526.05,-347.05,-424.7,2.51099E+11,794.2,High
4169943,9943-25,0.392,-2050.19,3109.4,0.663,98.107,98.176,0.238,0.214,87.447,86.409,89.578,-0.03,94.125,0.346,-31.793,-28.792,-690.152,-634.6,-81.566,461.3,18.966,42.082,35.888,19.762,34.54,272.397,194.794,0.548,0.637,21.383,24.252,6.076,506,-347.4,-420.8,1.78412E+11,815.6,High
4169943,9943-09,0.39,-1930.96,3150.2,0.665,101.328,96.01,0.178,0.218,88.254,87.241,90.435,-0.022,98.281,0.349,-31.944,-28.594,-693.939,-627,-82.753,470.4,16.421,41.361,33.764,17.548,33.956,328.838,188.692,0.599,0.706,21.33,24.276,5.193,585.6,-355.65,-417,1.90976E+11,827.5,High
4162983,2983-01,0.382,-2692.42,3148,0.689,103.326,97.989,0.402,0.188,86.879,86.215,88.782,-0.024,91.375,0.348,-32.664,-30.458,-709.975,-667.8,-86.806,445.3,16.934,38.394,32.747,17.035,33.173,277.374,244.905,0.534,0.478,21.827,24.386,6.856,550.25,-349.5,-424.1,1.54083E+11,796.9,High
4169943,9943-02,0.386,-2268.75,3275.4,0.674,100.088,95.884,0.424,0.225,87.693,87.493,88.636,-0.022,98.266,0.344,-31.717,-28.764,-690.152,-630.6,-80.96,456.2,17.557,39.676,35.046,18.271,35.045,279.032,188.838,0.412,0.471,21.451,24.274,5.92,639.6,-357.8,-422,84745760000,809.4,High
4169943,9943-17,0.388,-2244.81,3154.2,0.669,98.719,96.508,0.052,0.235,87.081,88.143,90.957,-0.028,94.781,0.342,-31.907,-28.834,-691.793,-632,-82.096,460.3,17.639,44.102,36.234,19.184,36.712,254.67,189.781,0.284,0.265,21.342,24.263,5.717,524.15,-361.3,-423.4,1.99402E+11,815.1,High
4147993,7993-05,0.33,-5693.76,3277.6,0.661,100.371,100.743,0.488,0.207,87.398,87.505,90.974,-0.021,95.719,0.346,-31.692,-28.572,-685.985,-625.4,-81.54,456.5,14.963,33.961,31.772,15.151,31.538,326.707,196.97,1.191,1.282,20.684,24.127,5.373,690.5,-343.95,-416.9,1.3836E+11,808.7,High
4135643,5643-05,0.352,-4892.62,3156.8,0.584,97.214,97.133,0.196,0.201,84.738,84.954,86.628,-0.035,117.25,0.335,-33.7,-31.42,-737.247,-689.2,-94.798,518.2,14.985,34.731,32.639,15.94,33.326,331.957,215.076,1.243,1.472,21.574,24.3,5.337,637.85,-374.1,-435.3,1.6142E+11,893.4,High
4169943,9943-19,0.398,-1749.8,3098.4,0.658,98.461,99.899,0.186,0.219,88.175,87.762,89.052,-0.023,95.938,0.347,-31.73,-28.514,-691.288,-628.4,-82.273,463.8,16.533,37.979,33.402,18.023,32.674,268.737,190.524,0.324,0.262,21.45,24.3,5.871,499.6,-349.05,-418.4,1.32935E+11,821.2,High
4169943,9943-21,0.388,-2183.61,3253.8,0.671,100.78,96.88,0.167,0.231,87.39,87.472,90.646,-0.014,97.469,0.346,-32.033,-29.09,-698.99,-634,-83.384,460.4,17.693,40.547,34.527,17.647,33.608,277.802,188.196,0.891,0.778,21.404,24.274,6.065,596.7,-364.95,-421.2,1.27918E+11,813.2,High
4169943,9943-11,0.384,-2326.55,3279.8,0.658,97.827,96.102,0.168,0.206,87.117,87.218,89.782,-0.022,98.406,0.345,-31.806,-28.888,-692.929,-630.2,-82.109,464,17.631,40.402,33.602,18.681,33.37,273.58,189.574,0.276,0.169,21.382,24.271,5.915,602.15,-364.5,-418.1,1.45799E+11,818.4,High
